pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
119118037,SWARD   138 KV  BK1,LOAD,DEOK,147690,SEWARD,SEWARD,PA,230,40.406635735000066,-79.03108177099995,90.9090909090909
123901185,ALLEND  69 KV   BK1,LOAD,DEOK,147844,ALLIED,CHESTER,VA,230,37.338368453000044,-77.29775811299999,83.33333333333333
123901281,LNCOLN2 69 KV   BK3,LOAD,DEOK,150519,LINCOLN,NEW HAVEN,IN,138,41.07028412600005,-85.06263936299996,85.71428571428571
123901281,LNCOLN2 69 KV   BK3,LOAD,DEOK,157415,LINCOLN,DELAWARE,OH,69,40.30645683300003,-83.08020478599997,90.71428571428571
123901313,MIDTOWN 69 KV   BK4,LOAD,DEOK,144006,MIDDLETOWN,MEDIA,PA,230,39.91804352200006,-75.40775349399996,82.35294117647058
123901321,MILVIL  69 KV   LD41,LOAD,DEOK,147916,MILLVILLE,HARPERS FERRY,WV,-999999,39.274073808000026,-77.78685896299999,80.0
123901401,STILWEL 69 KV   BK1,LOAD,DEOK,136868,STILLWELL,BRINKHAVEN,OH,-999999,40.46203836500007,-82.12936850499995,87.5
123901439,WAUSAU  69 KV   LD1,LOAD,DEOK,137612,WAUSAU PAPER MIDDLETOWN,MIDDLETOWN,OH,69,39.519687056000066,-84.40568808699999,100
123901549,YANKEE  13 KV   GENC,GEN,DEOK,113889,YANKEE STREET,CENTERVILLE,OH,69,39.60266292100005,-84.20502148899999,100
135388737,ALTA    69 KV   TR1,LOAD,ATSI,144029,BALA,BALA CYNWYD,PA,230,40.001711509000074,-75.22773792699996,75.0
135388809,CRESTLN 69 KV   TR2,LOAD,ATSI,146778,RESTON,RESTON,VA,230,38.952913591000026,-77.34561860999997,76.92307692307692
135388855,HOLLYWD 69 KV   TR1,LOAD,ATSI,146623,HOLLYMEAD,CHARLOTTESVILLE,VA,230,38.12733997000004,-78.43377319399997,75.0
135388923,OAKDAL  69 KV   TR2,LOAD,ATSI,123376,OAKDALE,MONTICELLO,IN,69,40.656500762000064,-86.75269266799995,97.3076923076923
135389007,TRIMBLE 69 KV   TR1,LOAD,ATSI,137224,TRIMBLE,TRIMBLE,OH,138,39.48983131400007,-82.08336511099998,100
135389007,TRIMBLE 69 KV   TR1,LOAD,ATSI,151165,TRIMBLE COUNTY STATION,BEDFORD,KY,345,38.582553000000075,-85.40828999999997,100
1067163600,INVOLTA 138 KV  TR1,LOAD,ATSI,137116,INVOLTA,AKRON,OH,-999999,41.057678757000076,-81.52342995799995,100
1076374013,CRANBERRY,EHV,ATSI,124622,CRANBERRY,CRANBERRY TWP,PA,500,40.722911116000034,-80.09836324699995,100
1107280803,ALMENA  69 KV   LOAD,LOAD,AEP,129511,ALMENA,ANTWERP TWP,MI,69,42.213022857000055,-85.86335386899998,100
1107283898,BATHFE  138 KV  TR1,LOAD,ATSI,113625,BATH,XENIA,OH,345,39.76674445700007,-83.97850192299995,80.0
1107283898,BATHFE  138 KV  TR1,LOAD,ATSI,154067,BATH,AKRON,OH,-999999,41.17785353200003,-81.62650758099994,80.0
1123170839,HARMON  138 KV  T1,LOAD,AEP,144023,HARTMAN,MONTGOMERY TWP,PA,230,40.22444193300004,-75.22840111299996,76.92307692307692
1123174783,DALESTN 69 KV   LD_1820,LOAD,EKPC,154005,DALTON,DALTON,OH,-999999,40.82441244700004,-81.69904530299993,76.92307692307692
1123174785,DAVIS2  69 KV   LD_185,LOAD,EKPC,115503,DAVIS,VIRGINIA BEACH,VA,115,36.85186452000005,-76.17562484099994,90.9090909090909
1123174885,MUNK    69 KV   LD_185,LOAD,EKPC,125285,MUNK,VERONA,KY,69,38.78484600000007,-84.71483899999998,100
1123174921,REDBUSH 69 KV   LD_185,LOAD,EKPC,147530,REDBUD,WINCHESTER,VA,138,39.211971650000066,-78.13499187599996,76.92307692307692
1123174973,TYNER   69 KV   LD_1813,LOAD,EKPC,147833,TYLER,CHESTER,VA,230,37.35109094000006,-77.39523909099995,80.0
1123175311,BROOKS2 69 KV   LD_184,LOAD,EKPC,129155,BROOKS,BROOKS,KY,69,38.04965100700008,-85.71112472799996,97.3076923076923
1123175816,S_VILLE 69 KV   LD_182,LOAD,EKPC,147656,LEESVILLE,LYNCH STATION,VA,-999999,37.09398001100004,-79.40332372999995,75.0
