pnode_id,pnode_name,pnode_subtype,pnode_voltage,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
52449,CONASTONE,EHV,500 KV,121512,STONE,HUDDY,KY,138,37.59222200000005,-82.26988499999999,71.42857142857143
52450,CONEMAUGH,EHV,500 KV,147447,CONEMAUGH,NEW FLORENCE,PA,500,40.38980907700005,-79.05908612499996,100.0
52450,CONEMAUGH,EHV,500 KV,162048,CONEMAUGH,NEW FLORENCE,PA,115,40.38579968500005,-79.05925268699997,100.0
52451,DEANS,EHV,500 KV,143940,DEANS,SOUTH BRUNSWICK TWP,NJ,500,40.40553315200003,-74.48529154599998,100.0
52451,DEANS,EHV,500 KV,152327,EVANS,AKRON,OH,138,41.094142318000024,-81.47387975299995,80.0
52451,DEANS,EHV,500 KV,113853,ELDEAN,TROY,OH,138,40.08298411800007,-84.23721793599998,72.72727272727273
52452,ELROY,EHV,500 KV,144020,ELROY,HATFIELD TWP,PA,500,40.27833900100006,-75.32625676299995,100.0
52452,ELROY,EHV,500 KV,160576,BELFRY,BELFRY,KY,46,37.62597957500003,-82.26677988199998,72.72727272727273
52453,EWINDSOR,EHV,500 KV,143939,WINDSOR,ROBBINSVILLE TWP,NJ,230,40.248879034000026,-74.56502912299999,93.33333333333333
52453,EWINDSOR,EHV,500 KV,143943,EAST WINDSOR,HIGHTSTOWN,NJ,500,40.24045248200008,-74.51850583399994,80.0
52453,EWINDSOR,EHV,500 KV,148196,WINDSOR DP,WINDSOR,VA,115,36.82268499700007,-76.78182066399995,77.77777777777779
52454,HOPECREEK,EHV,500 KV,153978,APPLE CREEK,APPLE CREEK,OH,138,40.74464941600007,-81.84448025699999,70.0
52455,HOSENSACK,EHV,500 KV,144019,HOSENSACK,ZIONSVILLE,PA,500,40.45523123300006,-75.50392687099998,100.0
52455,HOSENSACK,EHV,500 KV,146412,BONSACK,ROANOKE,VA,138,37.33308426600007,-79.87011864199997,75.0
52456,HUNTERSTOWN,EHV,500 KV,123463,HUNTERSTOWN,GETTYSBURG,PA,115,39.86816982900007,-77.16455018799996,100.0
52456,HUNTERSTOWN,EHV,500 KV,122658,HUNTERTOWN,HUNTERTOWN,IN,138,41.221262214000035,-85.17766623099999,95.23809523809523
52456,HUNTERSTOWN,EHV,500 KV,127505,ROHRERSTOWN,LANCASTER,PA,138,40.05327386300007,-76.35324006999997,72.72727272727273
52457,JUNIATA,EHV,500 KV,147580,JUNIATA,CENTRE TWP,PA,500,40.429139054000075,-77.17092953899999,100.0
52458,KEENEY,EHV,500 KV,128202,KEENEY,NEWARK,DE,500,39.63341064700006,-75.73092578899997,100.0
52458,KEENEY,EHV,500 KV,152372,KEENEY,AKRON,OH,-999999,41.10397191700008,-81.50522063399995,100.0
52459,KEYSTONE,EHV,500 KV,146704,KEYSTONE,SHELOCTA,PA,500,40.65770284200005,-79.33851666499999,100.0
52459,KEYSTONE,EHV,500 KV,144027,EDDYSTONE,CRUM LYNNE,PA,230,39.86029213900008,-75.32603277299995,82.35294117647058
52459,KEYSTONE,EHV,500 KV,129524,STONE LAKE,CASSOPOLIS,MI,69,41.902892293000036,-86.01169226899998,77.77777777777779
52461,NEWFREEDOM,EHV,500 KV,151734,FREEDOM,MANTUA,OH,-999999,41.26946819300008,-81.14408713099994,82.35294117647058
52463,REDLION,EHV,500 KV,127644,EDISON,NEW CARLISLE,IN,138,41.69977019300006,-86.46625319899994,76.92307692307692
52463,REDLION,EHV,500 KV,143622,EDISON,EDISON,NJ,138,40.491450265000026,-74.39566933599997,76.92307692307692
52464,SALEM,EHV,500 KV,151778,SALEM,SALEM,OH,-999999,40.89120877700003,-80.85623426299998,100.0
52465,SMITHBURG,EHV,500 KV,141148,SMITHBURG,FREEHOLD TWP,NJ,500,40.201362947000064,-74.36057630299996,100.0
52465,SMITHBURG,EHV,500 KV,150718,SMITH,SMITH TWP,PA,-999999,40.40133627100005,-80.40507044099996,71.42857142857143
52465,SMITHBURG,EHV,500 KV,147445,RUSTBURG,RUSTBURG,VA,138,37.27718257600003,-79.10626851799998,70.58823529411764
52466,SUNBURY,EHV,500 KV,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,100.0
52467,SUSQUEHANNA,EHV,500 KV,146475,SUSQUEHANNA,BERWICK,PA,500,41.09199356400006,-76.14705656799998,100.0
52470,WESCOSVL,EHV,500 KV,147475,WESCOSVILLE,ALLENTOWN,PA,500,40.57436699500005,-75.56179613999996,84.21052631578947
52471,WHITPAIN,EHV,500 KV,144015,WHITPAIN,WORCESTER TWP,PA,500,40.17154427000003,-75.31001341099994,100.0
52471,WHITPAIN,EHV,500 KV,143626,WHIPPANY,EAST HANOVER,NJ,230,40.81941658100004,-74.37826249899996,75.0
93155,GILBERT CC 5,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
93155,GILBERT CC 5,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
93155,GILBERT CC 5,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
93156,GILBERT CC 6,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
93156,GILBERT CC 6,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
93156,GILBERT CC 6,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
93157,GILBERT CC 7,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
93157,GILBERT CC 7,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
93157,GILBERT CC 7,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
93158,GILBERT CT 2,AGGREGATE,,132948,GILBERT,MILFORD,NJ,230,40.56637695100005,-75.16470925599998,73.6842105263158
93158,GILBERT CT 2,AGGREGATE,,144391,GILBERT,MILFORD,NJ,230,40.568729304000044,-75.16213125899998,73.6842105263158
93158,GILBERT CT 2,AGGREGATE,,153958,GILBERT,GILBERT,WV,46,37.61547188800006,-81.86294443099996,73.6842105263158
